# State    Excitation[eV]    Oscillator_strength
      1            2.6046                 0.0335
      2            4.1297                 0.0656
      3            4.2580                 0.0079
      4            4.3641                 0.0296
      5            4.4618                 0.0003
      6            4.5739                 0.1172
      7            4.8027                 0.0297
      8            4.9816                 0.0473
      9            5.2779                 0.0313
     10            5.6026                 0.0228
     11            5.6874                 0.0060
     12            5.9039                 0.0014
     13            5.9620                 0.1168
     14            6.0660                 0.0113
     15            6.0832                 0.1020
     16            6.1617                 0.0037
     17            6.2632                 0.0034
     18            6.3330                 0.0118
     19            6.3689                 0.0041
     20            6.4982                 0.0559
