# State    Excitation[eV]    Oscillator_strength
      1            2.7111                 0.0249
      2            4.6561                 0.1448
      3            4.8293                 0.0255
      4            4.9246                 0.0488
      5            5.0391                 0.0002
      6            5.4173                 0.1691
      7            5.5387                 0.0733
      8            5.7346                 0.0051
      9            5.9722                 0.0061
     10            6.2694                 0.0176
     11            6.3560                 0.0169
     12            6.4377                 0.0219
     13            6.4952                 0.3257
     14            6.8757                 0.2286
     15            6.9674                 0.1346
     16            7.1012                 0.0035
     17            7.1201                 0.0005
     18            7.2206                 0.0215
     19            7.2613                 0.0889
     20            7.2664                 0.0871
