# State    Excitation[eV]    Oscillator_strength
      1            2.4743                 0.0000
      2            3.8591                 0.7854
      3            4.2090                 0.0505
      4            4.2103                 0.0000
      5            4.9208                 0.0000
      6            4.9439                 0.0000
      7            4.9743                 0.0000
      8            5.2320                 0.0005
      9            5.5536                 0.0000
     10            5.5553                 0.1448
     11            6.0799                 0.0000
     12            6.1348                 0.0011
     13            6.1404                 0.0000
     14            6.2564                 0.0000
     15            6.3864                 0.0000
     16            6.4149                 0.0250
     17            6.4847                 0.0317
     18            6.5242                 0.0000
     19            6.5854                 0.3912
     20            6.5969                 0.0012
