# State    Excitation[eV]    Oscillator_strength
      1            2.6532                 0.0000
      2            4.1779                 0.8226
      3            4.8042                 0.0320
      4            4.8136                 0.0000
      5            5.5528                 0.0000
      6            6.1014                 0.0000
      7            6.1244                 0.0003
      8            6.1618                 0.2970
      9            6.1737                 0.0000
     10            6.2090                 0.0002
     11            6.5352                 0.0000
     12            6.7524                 0.0349
     13            6.7548                 0.4044
     14            6.8148                 0.0000
     15            7.1796                 0.0000
     16            7.2333                 0.0000
     17            7.3815                 0.0000
     18            7.5142                 0.3307
     19            7.5482                 0.0000
     20            7.5526                 0.0000
