#    Time[ns]      Variable
            0.0000000000            51.1500000000
            0.2500000000            51.0242390256
            0.5000000000            51.7322066305
            0.7500000000            53.6177131178
            1.0000000000            57.8394778492
            1.2500000000            54.1816517836
            1.5000000000            50.2404865676
            1.7500000000            46.1578012749
            2.0000000000            48.4992336227
            2.2500000000            48.4469106145
            2.5000000000            48.5689813029
            2.7500000000            49.1508486271
            3.0000000000            55.2216160250
            3.2500000000            53.9647275906
            3.5000000000            52.0522647811
            3.7500000000            51.1611319262
            4.0000000000            51.7138163893
            4.2500000000            50.8094026370
            4.5000000000            53.3317063069
            4.7500000000            55.2225681076
            5.0000000000            56.0338661574
            5.2500000000            54.9224263049
            5.5000000000            54.9787873109
            5.7500000000            55.2199611664
            6.0000000000            54.4383201846
            6.2500000000            51.9233522248
            6.5000000000            54.0120710379
            6.7500000000            54.6584593570
            7.0000000000            53.4686539402
            7.2500000000            53.9135184227
            7.5000000000            55.7023640715
            7.7500000000            54.5904767107
            8.0000000000            52.1164957418
            8.2500000000            54.1107373523
            8.5000000000            52.5730231153
            8.7500000000            52.7465672347
            9.0000000000            58.4392203909
            9.2500000000            56.2017230647
            9.5000000000            55.9720906961
            9.7500000000            51.9958192853
           10.0000000000            50.3744245097
           10.2500000000            49.5042388246
           10.5000000000            50.1279158891
           10.7500000000            52.3611491188
           11.0000000000            51.3234592154
           11.2500000000            51.1225451881
           11.5000000000            51.8368344289
           11.7500000000            50.4263485343
           12.0000000000            50.8099756557
           12.2500000000            52.3593623903
           12.5000000000            51.1983380939
           12.7500000000            52.5066033565
           13.0000000000            50.3914358035
           13.2500000000            50.7732238446
           13.5000000000            48.8699270095
           13.7500000000            47.9409992148
           14.0000000000            48.1622759317
           14.2500000000            47.8774431480
           14.5000000000            48.6970022178
           14.7500000000            53.3825696025
           15.0000000000            54.1451596526
           15.2500000000            53.5840914921
           15.5000000000            51.6548124376
           15.7500000000            52.6640743687
           16.0000000000            51.1928146512
           16.2500000000            50.5878273807
           16.5000000000            49.9532317659
           16.7500000000            50.9796708859
           17.0000000000            52.9207519138
           17.2500000000            53.7005486097
           17.5000000000            52.3337254935
           17.7500000000            53.8729453629
           18.0000000000            52.5336956943
           18.2500000000            53.6450694178
           18.5000000000            54.6830277358
           18.7500000000            51.5565865827
           19.0000000000            50.6358273845
           19.2500000000            51.0617886406
           19.5000000000            53.1388918867
           19.7500000000            53.3019349338
           20.0000000000            54.6651767311
           20.2500000000            56.0531065869
           20.5000000000            56.3892186409
           20.7500000000            53.8908896168
           21.0000000000            55.4107553594
           21.2500000000            55.5566979828
           21.5000000000            52.4086207165
           21.7500000000            53.0899918426
           22.0000000000            51.8912491668
           22.2500000000            49.0480469861
           22.5000000000            48.6010911882
           22.7500000000            51.2956633050
           23.0000000000            52.7200206685
           23.2500000000            51.2929871431
           23.5000000000            49.4546489595
           23.7500000000            49.1042302210
           24.0000000000            47.7590562919
           24.2500000000            49.9762533286
           24.5000000000            51.6378698534
           24.7500000000            52.7957634445
           25.0000000000            52.6701858912
           25.2500000000            52.6482738994
           25.5000000000            53.1665037608
           25.7500000000            54.2831219318
           26.0000000000            52.5480932469
           26.2500000000            54.2466891579
           26.5000000000            53.4875726201
           26.7500000000            52.6220738175
           27.0000000000            51.0651077936
           27.2500000000            51.6500603706
           27.5000000000            51.6020424053
           27.7500000000            51.8951714454
           28.0000000000            53.3980016339
           28.2500000000            49.2233771509
           28.5000000000            48.6695553524
           28.7500000000            53.2610076685
           29.0000000000            48.4528489089
           29.2500000000            50.1160765483
           29.5000000000            51.0679196215
           29.7500000000            49.3775001189
           30.0000000000            51.1675284448
           30.2500000000            50.1297902710
           30.5000000000            49.4944472518
           30.7500000000            48.9849238773
           31.0000000000            46.1561464083
           31.2500000000            44.7490838221
           31.5000000000            44.1990586268
           31.7500000000            41.9581633696
           32.0000000000            45.2544891948
           32.2500000000            49.3248601768
           32.5000000000            47.5057853426
           32.7500000000            45.8995574684
           33.0000000000            47.4883371838
           33.2500000000            49.0335545714
           33.5000000000            51.9135608045
           33.7500000000            53.8279013134
           34.0000000000            53.5021692319
           34.2500000000            52.0107400793
           34.5000000000            51.4344281780
           34.7500000000            48.9586929628
           35.0000000000            49.9909204957
           35.2500000000            48.6122512963
           35.5000000000            49.9641069667
           35.7500000000            53.1380101798
           36.0000000000            53.3816944645
           36.2500000000            52.0052168915
           36.5000000000            51.8360872055
           36.7500000000            52.7178222809
           37.0000000000            55.5967027850
           37.2500000000            55.4495831599
           37.5000000000            57.5578505385
           37.7500000000            58.3790385176
           38.0000000000            55.5248333490
           38.2500000000            56.6700662840
           38.5000000000            57.1186403570
           38.7500000000            53.2425321370
           39.0000000000            54.8812710934
           39.2500000000            53.9754016092
           39.5000000000            51.1852910103
           39.7500000000            52.1709598768
           40.0000000000            53.6814589215
           40.2500000000            55.6364028289
           40.5000000000            54.8604487335
           40.7500000000            56.6672527221
           41.0000000000            55.4397729261
           41.2500000000            57.0622645710
           41.5000000000            56.0499141742
           41.7500000000            54.1729535305
           42.0000000000            54.2507469040
           42.2500000000            54.6189866367
           42.5000000000            57.3031570586
           42.7500000000            58.2388167389
           43.0000000000            58.4013848674
           43.2500000000            59.2557945705
           43.5000000000            56.2011700149
           43.7500000000            53.4425035641
           44.0000000000            54.7602023409
           44.2500000000            52.5923373700
           44.5000000000            50.8165650727
           44.7500000000            53.2984003824
           45.0000000000            52.5840909832
           45.2500000000            50.3733910880
           45.5000000000            49.6574564794
           45.7500000000            48.9359048574
           46.0000000000            48.1968747622
           46.2500000000            51.0614322856
           46.5000000000            52.4982764760
           46.7500000000            51.6915174974
           47.0000000000            52.0275641168
           47.2500000000            51.5678066935
           47.5000000000            54.4158595815
           47.7500000000            50.6935996981
           48.0000000000            49.9990199553
           48.2500000000            51.3518507080
           48.5000000000            49.4063204240
           48.7500000000            51.9257760027
           49.0000000000            53.0244168945
           49.2500000000            53.1311638006
           49.5000000000            51.6650075568
           49.7500000000            52.4953167069
           50.0000000000            53.8714278663
           50.2500000000            51.6218592401
           50.5000000000            53.0956415765
           50.7500000000            51.9057808718
           51.0000000000            52.8205968008
           51.2500000000            52.5445513857
           51.5000000000            51.8254272271
           51.7500000000            51.3155861351
           52.0000000000            52.8707730406
           52.2500000000            52.1542392689
           52.5000000000            50.7876637657
           52.7500000000            52.1857828609
           53.0000000000            54.6072020749
           53.2500000000            54.2169595496
           53.5000000000            54.2418285170
           53.7500000000            52.5089548682
           54.0000000000            54.0834298975
           54.2500000000            53.5157614291
           54.5000000000            57.2004715456
           54.7500000000            55.0905279582
           55.0000000000            55.2829699178
           55.2500000000            54.2719760195
           55.5000000000            55.9195395593
           55.7500000000            54.8526580608
           56.0000000000            53.2599008691
           56.2500000000            49.3075806193
           56.5000000000            45.1564929700
           56.7500000000            44.9620651105
           57.0000000000            46.0705764693
           57.2500000000            49.2859077517
           57.5000000000            53.7605332801
           57.7500000000            52.0400883078
           58.0000000000            50.6411763522
           58.2500000000            47.1831438924
           58.5000000000            43.9933296044
           58.7500000000            43.3965675612
           59.0000000000            46.2227070973
           59.2500000000            47.8108282921
           59.5000000000            49.7430039309
           59.7500000000            49.0645551998
           60.0000000000            47.9650392540
           60.2500000000            51.4101108076
           60.5000000000            53.6171395313
           60.7500000000            55.4958871219
           61.0000000000            54.8214074117
           61.2500000000            58.1006276776
           61.5000000000            57.7148710167
           61.7500000000            60.6036124197
           62.0000000000            60.8109522446
           62.2500000000            64.4954052002
           62.5000000000            61.8769484898
           62.7500000000            60.8119789487
           63.0000000000            59.3208391300
           63.2500000000            57.7496206976
           63.5000000000            54.4091632669
           63.7500000000            53.0852459236
           64.0000000000            53.1263681522
           64.2500000000            54.4924356519
           64.5000000000            50.9441698458
           64.7500000000            50.8837355161
           65.0000000000            49.1668197876
           65.2500000000            48.8237625488
           65.5000000000            49.7664298823
           65.7500000000            49.9270334637
           66.0000000000            47.4338107179
           66.2500000000            48.4550873542
           66.5000000000            46.4011184963
           66.7500000000            47.1318057911
           67.0000000000            51.5624493736
           67.2500000000            51.6699118179
           67.5000000000            50.4192786521
           67.7500000000            52.1004013020
           68.0000000000            50.1078733059
           68.2500000000            52.1896615733
           68.5000000000            50.3696991771
           68.7500000000            50.1327314356
           69.0000000000            47.5209937451
           69.2500000000            46.9005790573
           69.5000000000            48.2995482730
           69.7500000000            48.7990088117
           70.0000000000            48.6797032877
           70.2500000000            48.5687976345
           70.5000000000            48.8611267101
           70.7500000000            49.8804017520
           71.0000000000            49.8510370013
           71.2500000000            48.9787860706
           71.5000000000            45.5106611254
           71.7500000000            43.6211984825
           72.0000000000            48.2721968811
           72.2500000000            47.5471157851
           72.5000000000            50.4862076210
           72.7500000000            47.7720120154
           73.0000000000            51.7137786387
           73.2500000000            51.9271576321
           73.5000000000            51.4360418160
           73.7500000000            50.0267941944
           74.0000000000            54.8997394997
           74.2500000000            50.4402596155
           74.5000000000            50.5570020456
           74.7500000000            51.8740907771
           75.0000000000            50.0366321357
           75.2500000000            48.6608141418
           75.5000000000            49.9941986670
           75.7500000000            49.2802293330
           76.0000000000            47.1495498274
           76.2500000000            48.1057752861
           76.5000000000            48.6357369907
           76.7500000000            48.9893754206
           77.0000000000            50.1924518432
           77.2500000000            50.8086535662
           77.5000000000            49.1078328202
           77.7500000000            48.9798921473
           78.0000000000            49.7702381477
           78.2500000000            51.2368533122
           78.5000000000            54.4520832622
           78.7500000000            54.9369211778
           79.0000000000            54.4657177877
           79.2500000000            56.3001685153
           79.5000000000            58.6050951469
           79.7500000000            58.9685880334
           80.0000000000            58.5804979073
           80.2500000000            58.4876879607
           80.5000000000            60.3338096976
           80.7500000000            61.3686040191
           81.0000000000            58.0187589169
           81.2500000000            53.5012752830
           81.5000000000            52.8423855829
           81.7500000000            52.1491782748
           82.0000000000            56.7656716645
           82.2500000000            55.5895089040
           82.5000000000            56.2853477975
           82.7500000000            55.5883502090
           83.0000000000            54.6075529626
           83.2500000000            57.4332846496
           83.5000000000            57.9457750919
           83.7500000000            56.5145732120
           84.0000000000            56.5632237629
           84.2500000000            53.0694015322
           84.5000000000            51.7328870451
           84.7500000000            49.7755553426
           85.0000000000            51.5971715323
           85.2500000000            53.2038038291
           85.5000000000            51.4221156367
           85.7500000000            48.7007592454
           86.0000000000            48.4063407608
           86.2500000000            49.9019176293
           86.5000000000            52.8768806885
           86.7500000000            53.6050575943
           87.0000000000            56.7191448541
           87.2500000000            60.5764834639
           87.5000000000            57.4043008333
           87.7500000000            55.8814697919
           88.0000000000            57.1508458802
           88.2500000000            55.8054200182
           88.5000000000            60.0882333118
           88.7500000000            59.3782157571
           89.0000000000            56.5925459125
           89.2500000000            59.6554218593
           89.5000000000            58.0725909362
           89.7500000000            54.1182119872
           90.0000000000            50.3088122324
           90.2500000000            52.9632206729
           90.5000000000            53.3239502625
           90.7500000000            52.3086320328
           91.0000000000            51.5500750589
           91.2500000000            52.5512055410
           91.5000000000            53.2388381743
           91.7500000000            52.5521779062
           92.0000000000            53.6107552930
           92.2500000000            53.5166026510
           92.5000000000            53.0955385847
           92.7500000000            50.2688147611
           93.0000000000            50.7502662517
           93.2500000000            47.8699869551
           93.5000000000            44.6948366322
           93.7500000000            46.0472362984
           94.0000000000            43.1096688488
           94.2500000000            38.8587927688
           94.5000000000            42.1670332313
           94.7500000000            39.9397763274
           95.0000000000            41.6981489711
           95.2500000000            40.6884501282
           95.5000000000            38.0994684518
           95.7500000000            39.1651672877
           96.0000000000            41.3512527176
           96.2500000000            41.7053653009
           96.5000000000            41.6383227310
           96.7500000000            44.4621566816
           97.0000000000            45.5329878709
           97.2500000000            45.1499569231
           97.5000000000            46.5057912347
           97.7500000000            45.7276973195
           98.0000000000            45.8654701673
           98.2500000000            45.1431983399
           98.5000000000            48.8684853297
           98.7500000000            49.5886878040
           99.0000000000            49.4284548720
           99.2500000000            52.5404358522
           99.5000000000            53.5055116174
           99.7500000000            53.8975228285
          100.0000000000            51.1233178001
          100.2500000000            52.0161897417
          100.5000000000            53.9022142642
          100.7500000000            51.8304733635
          101.0000000000            50.5679712860
          101.2500000000            51.6299344015
          101.5000000000            53.0286305357
          101.7500000000            51.3526604660
          102.0000000000            49.4464869982
          102.2500000000            53.1264082758
          102.5000000000            55.4234358191
          102.7500000000            55.2774534733
          103.0000000000            53.3285329662
          103.2500000000            51.0462354989
          103.5000000000            50.1257246909
          103.7500000000            48.6299780661
          104.0000000000            48.2328988985
          104.2500000000            47.7065680836
          104.5000000000            45.7807341904
          104.7500000000            46.2825084324
          105.0000000000            45.8558638706
          105.2500000000            45.5081495433
          105.5000000000            44.3109191304
          105.7500000000            43.4587356724
          106.0000000000            44.5552220507
          106.2500000000            44.0645878768
          106.5000000000            42.7966551305
          106.7500000000            46.3865211456
          107.0000000000            46.6082150510
          107.2500000000            48.3222013954
          107.5000000000            47.1284737539
          107.7500000000            48.8236790551
          108.0000000000            48.1716184369
          108.2500000000            47.9764097964
          108.5000000000            48.5586465206
          108.7500000000            50.8704599786
          109.0000000000            53.5620521853
          109.2500000000            53.6808207358
          109.5000000000            55.9203169595
          109.7500000000            57.5900619306
          110.0000000000            54.4614730635
          110.2500000000            52.0969234426
          110.5000000000            54.5550965640
          110.7500000000            51.2053332059
          111.0000000000            48.8458014658
          111.2500000000            51.2516433940
          111.5000000000            50.6792142590
          111.7500000000            50.6029982479
          112.0000000000            53.0229933088
          112.2500000000            53.5459673517
          112.5000000000            53.2567665845
          112.7500000000            50.4874477151
